x,y,Al,Ca,Fe,K,Mg,Mn,P,Zn,pH
6,3,216.244427216446,312.0318116277,141.706787749821,105.546657421242,48.4059562271158,11.5215141468561,0.451200885263785,0.639944913134953,5.61120002810016
6,4,212.90947405658,408.894285541917,136.557485462004,109.882018640376,50.7945928566862,12.0953427880945,2.04460842579872,0.711874591177937,5.69614970728121
6,5,202.828488868247,459.23485251337,118.018292569278,114.11721960842,53.7210085008349,12.3346309635509,0.980381547470517,0.780596282951355,5.76883090887243
6,6,185.528940477915,578.44896740978,119.630379606813,118.928375796789,62.0846707184488,16.2196636548548,0.184340529533032,0.908225677804769,5.96466373569531
6,7,166.817920930952,714.537995044817,141.75797619589,125.399338343814,77.947833740013,23.9759463958076,0.012343063688719,1.06519105651709,6.24606625816047
6,8,163.558003842679,637.155722629066,152.4697394938,125.590606036139,83.7722958566333,26.7935468448878,0.0093845281771809,1.01306927260688,6.29926825954383
6,9,179.421744495032,434.96626276776,137.108439073791,117.354180909471,70.9689543929675,21.4226892306789,0.101864577278423,0.773257642615126,6.10841416699504
6,10,209.210087012487,273.300061819843,117.333729507682,106.889715686767,53.2064054269518,16.186625942327,0.14360262704137,0.646458056963529,5.79816100867608
6,11,243.601699650457,157.915989898726,108.550659844771,96.6308985545853,39.9613171519361,12.2342108417751,0.0234499058388659,0.58825381073718,5.43934964579676
6,12,258.376753348746,111.190553135981,106.82533328128,88.4233803217889,35.5930770599353,9.45765961442884,0.00258406620620973,0.548411477076836,5.28456217744776
6,13,261.571723602555,119.479442272658,107.136383340281,83.0276773907733,34.7885017496437,7.51605949421676,0.000381867873671769,0.551202969552643,5.28396513616209
6,14,258.607089350779,142.273176238629,112.460249999668,81.3333832663365,35.6531683772503,6.73221610048433,0.000911843075737832,0.575357720710551,5.27308901337847
6,15,246.355011312415,185.110872064342,113.509208296626,84.2697609658065,37.0966111809967,7.00915706876093,0.0210259215426423,0.612202541278981,5.2409983987675
6,16,221.363422424071,243.253508152342,103.294114564501,93.0521284246323,40.4785329214682,8.22615386946372,0.068888651416752,0.64692949351373,5.42024747227889
6,17,202.466314931553,311.030830056743,97.452958298195,106.912357051634,45.9263072896007,10.0972075921695,0.0102854380031195,0.655466067224874,5.8028549983758
6,18,213.709498005555,436.959373003634,109.93465013034,120.912982844027,54.9724014119928,15.0260882574028,0.109515898140077,0.70420446521982,6.00441950790584
6,19,221.208715073164,539.567807738852,124.381022650682,130.361174296408,61.9773499967158,24.2604129209648,4.12169641621692,0.776098622694978,6.09911006532772
6,20,215.019776156773,503.454422615598,119.914804623157,131.071593771179,56.8668232792552,24.7532417023323,2.62843757721851,0.736171632202315,6.06519854662047
7,1,213.923897795469,205.651027634968,107.742578648968,108.591151646361,42.5604344206084,10.2115095247789,0.0949975477467784,0.591288772568911,5.49273422798972
