x,y,Al,Ca,Cu,Fe,K,Mg,Mn,P
2,5,654.186718123998,117.676373503702,0.173148454236,96.0733528938035,31.239177869588,12.6759493109722,0.818679721977765,3.41252976823499
2,6,709.164942191452,131.955176171242,0.229706619500585,123.054085248374,33.0750408914228,12.7191279016495,0.82988650651573,3.35030446833568
2,7,773.356423004715,145.869448645862,0.249449021530416,150.351849638066,35.7495732526498,13.6552209880063,0.882925041233254,3.31119983503463
2,8,812.421694615727,149.445454085736,0.248725396537849,155.8889816016,39.9650063908478,13.6661708234933,0.979839449553928,3.28289695813413
2,9,799.804844712609,149.835677844649,0.239853256925793,146.77147448731,44.2635351933569,13.0853991586565,1.09694351224009,3.25484448267913
2,10,763.178188876091,159.554838857667,0.268043885421591,138.184496115455,45.2962700086658,14.4710177524033,1.26349354349774,3.30650537454721
2,11,714.409439627615,171.710536204727,0.323427363112661,128.377822829192,42.8684434238919,16.0280789982826,1.42045446704637,3.40455219741376
2,12,689.035956762313,175.430287494668,0.375665644601947,121.454457511809,40.0169695591718,16.4940003988152,1.50407802084807,3.5076606592259
2,13,736.358339713294,165.950612713503,0.390871981681111,124.834113327176,39.9133567240829,15.4817748075629,1.48265116503942,3.59895109847092
2,14,807.72491935643,156.192331765164,0.357123764652071,130.451272308129,40.0741034146348,12.5106030909015,1.42348849212212,3.68780737033779
2,15,885.860738320544,161.74084510418,0.306734938242766,142.789940543493,41.6104012541129,14.3675467355105,1.4342584869945,3.85188862479861
2,16,943.395972690615,175.320489417863,0.251958270316159,154.224433018621,44.3629475137001,16.7931997664278,1.4529200570944,4.04773853376512
2,17,951.745189946528,183.180424616835,0.265388137442599,155.165162823994,49.196236358042,17.5312539596678,1.4346875518603,4.10154534908808
2,18,924.696791749355,178.820960074629,0.431819228681677,148.306007562009,57.243861823724,17.4579149960295,1.40587592273387,3.92501494683254
2,19,924.169728623907,174.686478779875,0.585296625758813,143.292958059402,65.110973485219,15.9947478647349,1.39483398358371,3.7477238246545
2,20,970.480808638458,173.237766852369,0.527749662976917,153.305627633528,69.0832885234358,16.8794982642686,1.39704745959343,3.73792818485441
2,21,1047.46139811749,172.593260128306,0.361618590832109,172.000521752616,68.8759654011996,16.1665321650974,1.41686573033596,3.84778155223712
2,22,1108.89171440406,176.436213308261,0.335045242330919,183.959151911809,66.8269993101363,15.4796182109219,1.53683703677797,3.91054516195113
2,23,1078.90521783124,185.923909662155,0.557059342532134,164.612862985081,65.7524582451322,19.08229696036,1.85795250930101,3.75106541120416
2,24,1021.92092249467,194.743906322302,0.86918791688671,134.421381484783,65.4855591379044,21.0093498773714,2.16096822313992,3.59138864390138
2,25,970.84017806058,219.59015784188,0.903576597321288,124.275997674875,70.0981699197138,21.893965499913,2.28349071971465,3.55213002805856
3,1,693.494009669461,66.035619194189,0.0452958412769855,84.5692079798249,27.6814637608592,8.84965053820724,0.628343879444102,2.97132387202574
3,2,695.892493844489,72.152822787161,0.0511855697417599,80.6611256664941,28.4205412921164,9.41746915600457,0.719897946666844,3.02821147861647
3,3,681.893662875834,80.5472120559921,0.069838112144635,75.1466105578939,29.9851892525501,9.69003819946277,0.764672699562323,3.12176421774266
3,4,662.827543053494,92.3105036833648,0.111017974683778,76.5799015302102,31.6417099381554,10.2144920755174,0.790005930600506,3.19866807344909
3,5,670.82188420804,106.391443963466,0.173587805783461,87.9974817707557,32.2597301515944,11.1010338875968,0.805496275395946,3.20620844258447
3,6,715.031689089234,121.726866032754,0.237441403668052,110.586767134384,32.5594038480662,11.8463325522352,0.829666325560169,3.18310067656631
3,7,780.817650706717,135.296627708325,0.279533863878457,140.750016504893,34.4564228825154,12.2804219102223,0.890860314488466,3.17731690419354
3,8,846.930618171629,144.546818778495,0.281607392679918,171.029686944249,39.1155590957456,13.7663476822599,1.01799216183364,3.16329242307527
3,9,855.782332978771,149.565273635581,0.276661517541294,180.516588745003,44.4124666737442,14.6603997132323,1.16958734377938,3.16602836039219
3,10,806.19883730586,156.17750577276,0.276483196927067,163.47571001535,47.5278043452812,15.5556954578993,1.32874528027647,3.20248818372505
3,11,739.180301892761,166.343967316507,0.292148565480129,138.766451403365,46.9147902064596,16.3744961064856,1.48746181122499,3.26568437472843
3,12,710.627723510516,170.64891333306,0.305336642935386,123.645461685826,44.441887866858,16.684892359014,1.58368022501529,3.34630102118578
3,13,745.665259931826,162.255149857993,0.32012752530919,122.431911920899,42.0712949260087,15.670087830643,1.56382836545993,3.4317130058287
3,14,818.850346996058,152.73003098273,0.316347400946956,131.11591073886,40.9852847343951,14.4216030578367,1.50735982758647,3.51897955557445
3,15,890.377794965618,153.529251068288,0.29122099775442,145.463409201067,42.2263248932811,15.1096821706503,1.50281400946086,3.66613947008861
3,16,927.570787273446,159.735201554498,0.265301007902042,157.424974656252,45.505849615441,16.5854154952071,1.51609687891703,3.83871204042835
3,17,921.770175241038,161.648516644731,0.304554764630895,155.129570135435,50.762898343886,17.4020395247517,1.47409364555879,3.85559052801191
3,18,899.741012214302,156.660542375321,0.470795514622137,141.35264501493,58.5978194368436,17.4999444957494,1.3912846118519,3.64341586748606
3,19,897.471621559956,151.428693352408,0.661073137269183,128.49657511901,66.7007218927764,17.2928680809155,1.34615211297189,3.41324766599371
3,20,928.341258625474,153.353310955533,0.599629874223769,132.376844253079,71.228883803871,17.7082456773863,1.37244187037444,3.33389861770096
3,21,971.50005393692,158.57088124096,0.429650670608351,146.8103573495,72.3905139406074,17.4549184997767,1.46270407210487,3.35184401349482
3,22,1005.85146010567,168.532619104241,0.402351192334411,159.291849995985,72.0212609084774,17.6283382727197,1.66822252353821,3.36697835507483
3,23,1007.74954401215,186.775851607106,0.577684675543267,161.277358427687,71.3016718721988,19.9807126307889,2.0469060501037,3.33957552761896
3,24,982.655989752606,212.44448247426,0.838525238247196,150.674462842752,72.20692802556,22.5771603897882,2.46726418616101,3.30970828387913
3,25,953.906879923366,244.486450131276,0.891955661710539,142.913539535637,76.0795476351405,23.7131580280409,2.63628055736048,3.34138104980468
4,1,691.221349322502,70.198724454548,0.0409552217909147,85.286919031125,28.6598183338935,8.26979712014419,0.690986457027326,2.85659746681962
4,2,707.296648317834,73.611894683487,0.053151622900131,85.7463810346456,30.1196410500455,8.40911077177128,0.773531734859705,2.89620563185748
4,3,706.625098716747,78.9547225033692,0.0816304543807229,82.0046495299771,33.114053852024,9.05779253044945,0.784562379156617,2.95329148456901
4,4,699.78854473451,84.7663452870182,0.120451534483551,77.55329756825,35.1450333837375,8.06353873682729,0.760265771628771,2.99342683888963
4,5,710.67485445273,100.301895489807,0.167328884407536,85.385472790649,34.2022654577035,9.69444515392468,0.776442111228608,3.0007726222427
4,6,750.998386863247,118.394517002444,0.20376886909609,104.060541321119,32.6569291068185,12.0611617606417,0.822276989832038,2.98994654290139
4,7,814.077668358819,133.614664125245,0.239448237649824,132.585043122827,33.4768261495293,13.4004834041872,0.904200467712626,3.00045809240018
4,8,886.793536815991,146.113791591629,0.284110232344983,179.111649130282,38.1516340948925,14.151618576221,1.04829136154189,3.0426333081465
4,9,922.32888199328,152.77389971545,0.30070360846044,217.666563621795,44.3035680882533,15.8667433136271,1.21921592866414,3.08924820715711
4,10,848.571473978174,152.464231928683,0.278443480575256,187.118315383635,49.518829977808,17.1042379714776,1.3476496091721,3.12277765912947
4,11,759.199448414746,158.665058237836,0.259128654361956,143.082307907429,51.10852226582,17.8999815682197,1.50620039573791,3.15491745174008
4,12,724.457999167586,164.910069924586,0.247942512572924,118.673688599948,49.1692567229709,19.2602775668765,1.63526930065344,3.19992306131812
4,13,764.462285348471,156.603655959661,0.275478324731033,118.919497586659,45.0990921066151,15.5646943217289,1.59800867442612,3.27223922641161
4,14,835.364817677715,146.274078984793,0.276212881143327,130.238807881805,42.711431023454,12.0323908289735,1.5267960761535,3.3270624264332
4,15,897.66221676578,146.806799131317,0.297437098057715,148.950985394973,43.9277465295039,13.6772378778784,1.53873362491597,3.46788274008323
4,16,911.36846020802,148.469799231888,0.287986418995265,166.621994682743,47.7755860093529,16.3785799993765,1.5846302631027,3.66176625604079
4,17,897.73126038832,145.792071538434,0.319192712467331,167.232727838033,53.0089865247889,17.593608732653,1.5400711563768,3.69009247943081
4,18,883.393661017755,140.325549661374,0.509944317506904,147.388820675472,60.4105079906777,17.4048575265904,1.39435894585282,3.38985733617861
4,19,870.579284561774,131.393389686512,0.730394265160703,119.406610402371,68.1547744053739,17.3119319838582,1.28707946003508,3.08283480458772
