x,y,Al,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,Zn,pH
26,3,1790.49992144707,158.106723238769,0.597284381408665,223.611940593592,20.0309271597135,49.112958026565,126.150369442755,0.267137409444015,4.52621224,0.856603969433642,4.52088811882723
26,4,1964.2497832198,121.120665332931,0.778610467593704,211.985951147708,14.4989507181288,50.8051371951594,167.033110718522,2.74984016152947,4.612606144,1.11142527443793,4.45875323930332
26,5,2042.49903415331,86.5496382570842,0.727827188552707,201.393077456765,4.23844200839793,49.543113773968,156.770239267235,4.55556187437089,4.958009678,1.09141067413922,4.39745921988728
26,6,1983.64334747312,73.2540063122544,0.573403169251737,192.591982972878,0.779249647422263,44.7194621748142,115.317728496901,3.85480835116666,5.285415952,0.891162062561455,4.37127007378929
26,7,1853.63050673948,79.1876972246608,0.510146971383104,193.25611942438,0.536521835065466,44.6988268099221,104.784595520026,3.4197497689815,5.303545105,0.847407270263582,4.4217609176824
26,8,1683.62818438734,131.549780677031,0.551891808020701,208.989666841205,3.92230521147766,52.7164369783113,158.125180143639,4.63080179508387,5.195809793,0.926504682344107,4.56232144045605
26,9,1502.3621234965,197.355238817074,0.557432786527286,222.589651412808,26.6981496888824,58.2467368657667,218.736646840163,4.32505736489827,5.131338329,1.05004146243752,4.75884448220976
26,10,1391.08730373877,233.128138668292,0.40947494339385,216.580397479598,64.8470962080755,61.6288182092334,230.638946058146,3.46295079539179,6.028379695,0.907844774293992,4.95542944446208
26,11,1280.98006299897,288.392611389189,0.287051132556008,201.888745632133,94.0398498772031,74.0483234081731,208.811544653464,2.46771009782951,6.519278662,0.789086262379558,5.10983855045752
26,12,1230.97077016765,347.466114983014,0.25801888424171,188.433428053461,134.396872960355,94.4337530693371,185.35170464832,1.17022107846358,6.489340716,0.746784137284468,5.16595712186492
26,13,1304.92047020811,432.66501671097,0.320541396929111,178.304937441908,194.571366758211,105.631918734643,168.670440126002,-0.309369654579303,5.836700971,0.840421900974851,5.10772878267031
26,14,1338.98071412248,535.738660264172,0.395360848106522,176.091996759621,218.120535818431,101.321664655452,159.786348631939,-1.16533237396345,5.736894049,0.906673048334833,5.06014007709988
26,15,1347.27708439481,650.424883521992,0.48160322548297,195.460602721567,164.236170311197,125.261034511847,163.745346138819,-1.69049193447135,5.734775029,0.901414464718728,5.117563037042
26,16,1371.32375978093,721.373252100512,0.580712634683845,222.153608094981,106.419017202516,173.993861956505,180.94018136952,-1.46626213320195,5.875202388,0.938964353090553,5.21143816082015
26,17,1372.03710500323,774.82506969648,0.643046651510616,225.707545898102,106.830684941356,189.405573548301,192.336925126197,-0.964510585951244,6.046717005,0.983532589801103,5.27790631791209
26,18,1343.80527481218,841.201161237224,0.613007126854404,199.035855237815,198.298797760622,171.633471119925,181.723537015027,-1.13754734817826,6.122205446,1.07605610632684,5.31850993789338
26,19,1346.45049658849,849.031844070832,0.523635829975422,162.324356711629,324.879323091444,135.079311745066,164.116158981443,-0.730845241318603,6.370357777,1.07087037212692,5.32070362704787
26,20,1315.86914175449,621.651879000135,0.447833243259551,146.688697301119,335.406254791034,110.447309898618,157.515938087721,-0.40111868866558,5.789278516,1.06189182358065,5.23712240039484
26,21,1286.59073217095,395.064306299408,0.405001456720551,148.739395362847,248.894213131339,93.8581618722978,160.822885276498,0.386248367211675,4.976422068,0.989456965867802,5.10924814156638
26,22,1308.21602459273,360.641549629043,0.407140137611721,159.00300077426,212.699516814867,98.7499593610104,163.585705779378,1.00869103869097,4.733308243,0.957106293553579,5.00130379601858
26,23,1366.89936685843,421.649372621674,0.408623022695482,169.785136771748,212.877523837482,117.735473958971,164.761800332507,1.92461773242437,4.898734438,0.873001906208783,4.92187131115819
26,24,1433.9012216811,550.208386156019,0.421500796460691,178.659706556154,267.424121380376,124.989146531732,181.485278366403,2.64804752396589,5.122452439,0.826021371321034,4.861879127299
26,25,1469.24314242249,588.968364957565,0.44255570796908,181.244689831494,306.80132937925,112.096156244109,192.343646042449,1.96173212126484,5.193329436,0.753296297204702,4.83858393198734
27,1,1552.81331610027,202.429683625478,0.621614875296792,240.800018392733,25.0302150854531,45.7348351642516,103.684053280873,-1.49791619567866,5.405646934,0.86117575326711,4.67135781349703
27,2,1537.14960929923,225.976974768842,0.718440095276178,236.466971984042,18.3553485695273,43.3054189861317,70.7493803881005,-2.17485161856268,4.437844766,0.813017962411316,4.63355886031393
27,3,1708.69268658109,204.835490849645,0.91585148656371,227.135120135267,23.4988901250454,50.108317014229,98.893790317419,-1.32396642762814,4.305625446,1.0499894857714,4.55295135665455
27,4,1962.87710449319,130.350358786557,1.18716299646175,212.674487016221,19.2692258869603,52.3035535884189,144.735570249356,-0.795911693950252,4.365429262,1.48214307584917,4.49293671220167
27,5,2123.15562881915,73.7214538761512,0.974754941610352,204.585937551103,4.82213793338624,46.6918743570353,140.223195329848,1.286979000325,4.841759773,1.28930979326723,4.38521807144547
27,6,2146.73074157271,45.6037242521087,0.635499616195759,199.051513654768,0.595838162697684,34.2347345832706,107.475402071479,4.02285260657769,5.295940626,0.95652226447371,4.284176262335
27,7,2038.16059976107,48.646899121783,0.505269422496449,199.796881277964,0.268719052524687,31.4587910741547,96.1034327970174,4.52861107334011,5.326612372,0.806284068720713,4.29209529616713
27,8,1820.85852070115,135.348138022909,0.607244863412204,214.056532135458,2.57811956723113,47.3301665539741,151.05178838141,4.71613803015151,5.122800525,0.976445200007073,4.4531980505825
27,9,1546.57413063334,256.413844955292,0.707510955953201,225.962027033844,22.323181536347,68.6963620310331,207.264550036629,3.30266204876496,4.459432844,1.17961493240743,4.67214355077162
27,10,1377.27961634771,330.83134851746,0.466687488800496,216.371207861262,66.739827777036,77.8501500025038,219.552492561943,1.88510642315618,5.164857947,0.94111629573752,4.89207464376798
