x,y,Al,B,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,Zn,pH
4,8,991.310872404128,0.54560196545855,1403.60219757035,6.58549671616041,139.256145085503,150.737763943947,263.82100206515,305.946963118003,6.46532924030524,2.36567439477196,3.44699744835231,5.32301437698308
4,9,1006.22934407753,0.559492128478951,1441.11382787445,7.16673805843349,146.274179531082,157.587027911935,268.314995547348,364.742893227836,6.12813329549546,2.1360037840246,4.67259368010514,5.35405445615348
4,10,1051.94156398509,0.641325247420476,1390.01064074003,7.64834341980846,157.755873803928,122.884194725752,267.780335897423,379.263056318915,3.40106105400167,2.10389864404865,3.56452089722912,5.51379675445325
4,11,1121.66955213182,0.649144854896345,1287.59554913118,7.68846038170213,161.570724154427,106.844223999271,233.175048308501,411.682934670417,-1.00437717283826,2.14663754526038,2.99889087414886,5.58250588905636
4,12,1170.07874214658,0.629090345906897,1072.55674183765,7.653516106542,161.793487881273,105.675902619482,213.825294510773,458.370987578117,-5.32679234226667,2.1520994414654,2.31679400870234,5.58286996617962
4,13,1168.03329688748,0.664241338895691,1238.11820044571,7.9800804759707,164.866503838147,106.599435406351,261.195870153753,480.55001573172,-8.11839566005277,2.16821337648776,2.48978559921889,5.57692553026672
4,14,1171.45384971644,0.699002389825283,1417.06765327634,8.30438975815099,168.63051064016,107.987616599453,328.097533535359,519.038994612566,-9.86702087861962,2.13162108669974,2.59195278476889,5.66848175976974
4,15,1177.3605427773,0.613131860290828,1384.22846164392,8.14955081388266,170.527061715543,120.473104917672,294.520041381473,532.713795552486,-8.25313857440432,2.14256903510862,2.82398972855577,5.62270983763195
4,16,1144.72513653498,0.533623825103654,1413.93544786988,8.05135702573755,174.375313180622,121.210839750536,260.125241566793,507.814956353151,-4.6560701019428,2.31739183209099,2.95301009791066,5.52230739479977
4,17,1092.26802245442,0.503456665308989,1530.63966433382,8.01546270028099,176.340234983071,111.296862119786,246.599421364205,465.843604206584,0.420869106502771,2.5521047026031,3.10468634740692,5.49504589770424
4,18,1027.34009621522,0.563604532678696,1546.0914224841,7.84052270731454,169.382900389394,94.5125909208652,225.862329742668,417.703666219706,5.70340620187723,2.74598116690642,3.66161589279096,5.57082466798718
4,19,986.426541110924,0.569181447666253,1475.95158128057,7.66094633274083,164.868060892429,82.189491690999,207.030217287626,368.299907411512,10.1101625843865,2.76144663511335,3.74895267807264,5.6341215024397
4,20,1036.0743560929,0.489375581266625,1420.44141672462,7.51501146818877,154.584110741097,83.0911817830307,201.187122308146,321.705846431087,11.8869022879295,2.68075585902188,2.92615200174427,5.62959320966894
4,21,1107.52944161779,0.358891163503899,1145.43619621399,7.17168653193356,147.073102026154,86.0118669436274,187.204737671438,251.107517837173,11.951099439939,2.50131391054605,2.26041225341938,5.6051898080983
4,22,1142.14346432739,0.308729622393347,918.258129239286,7.03361865071741,148.117726060978,87.3168779221563,178.264167975826,211.59286015751,10.1685941918762,2.26317086943729,1.70986739831576,5.57886051074845
4,23,1095.1897003086,0.418471297265521,1023.36878254399,7.45622851465464,161.415191470215,94.6820927352995,187.476299763888,234.900599045458,7.76189830889633,2.00096160594665,1.96800988331139,5.53045905421036
4,24,1055.91108618863,0.577332924324999,1056.50834502594,7.96921679183689,178.114667816261,99.6966171310513,191.466986938434,262.16246986162,4.19660303452741,1.78910937131014,2.25937335544061,5.50825778064718
4,25,976.15112339789,0.682350702515842,1221.77816802743,8.4183866858176,166.533807992023,115.495040581472,216.743773050105,295.562515719061,3.87576075421114,1.60138064234745,2.62504833453142,5.50607702050127
5,1,927.44628076625,0.958164676352227,1975.31111151797,7.00742641568613,171.932073178268,149.126242072523,304.888865909572,378.285062432712,-6.6435022624334,2.00587463659386,1.75012770140615,5.348777163011
5,2,981.733089600337,0.854488971857267,1846.14753830027,6.88977219163609,162.968996455407,140.879343867118,318.293447824873,340.617888796835,-7.83176057376869,2.14690022505395,1.71474647810104,5.28605817415527
5,3,1003.15063700435,0.729584532271887,1621.62117119017,7.1792049846089,156.079148222591,134.215144248526,305.04909886279,323.611925521457,-6.24855270741713,2.20668548714685,4.46604709423803,5.28299428693734
