x,y,Al,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,pH
3,25,3034.56152998806,261.237534074878,2.78467678258543,428.288052696358,48.6064686066897,47.1716698885647,11.735638715904,9.61218999950322,12.198542774741,4.91037480241586
4,1,3538.21516919952,259.858065311839,2.86011619096492,790.080956155556,82.112072031724,31.1057146500548,14.6812743505379,0.491406260108587,44.5116590918541,4.3236356684521
4,2,3514.53134522063,249.50879634102,2.70766519905196,770.382571904179,81.9973306895042,32.0136587819904,11.0498326751226,-2.24096870137915,41.7627820965124,4.3249046981761
4,3,3521.62079246786,227.677943259968,2.69125524863425,688.135132812133,84.4969337589628,31.4411748694809,8.74623100030763,-2.71831012905302,42.5609109912965,4.29438297539392
4,4,3533.42589078812,225.667053978743,2.84383956248206,733.545617688554,85.9774566731205,32.4757348507096,3.94638474723606,-4.97572589144463,48.2714133496395,4.21337816151592
4,5,3468.70030473803,222.600697455101,2.84239780205385,897.100309904945,84.2067878750753,33.5584067032883,0.353108157272803,-5.11938170390347,50.0575895922359,4.13167014690586
4,6,3385.46448671726,192.489203358356,2.77952839589807,920.173474472601,80.1402406406942,30.1715279179759,0.0087393520245617,-7.21056995031047,43.5177634417156,4.11046720504518
4,7,3552.93170401929,229.625736958493,2.73031905631099,790.378642761004,77.505338486653,33.9762643089964,0.0216515743421451,-7.86467438460753,34.632591708069,4.08188723019474
4,8,3699.78377638807,224.769441804623,2.64405620659105,564.95779280953,74.6516246571225,32.8693862505259,0.151955351399441,-8.66844675373192,30.9309504060999,4.09600212178849
4,9,3759.50160636959,209.20907466038,2.43935268307616,409.483427641486,71.8294836029699,30.9794920679075,0.128528623033073,-9.39379862601009,28.0243357411065,4.12478965853778
4,10,3777.78107522947,193.542043485573,2.25023593161786,492.952732906319,70.912854888828,28.4249603884249,0.0421204310337114,-10.6768084272073,25.1697229970003,4.15057031059972
4,11,3774.56537077497,191.470186015591,2.25513591210762,566.232956705624,69.187472018737,27.1791540196994,0.0644568686725594,-11.7067540805047,22.4510579677866,4.22054599851095
4,12,3718.4810658998,187.254080242368,2.1828446545335,437.047049021635,64.80820360807,26.828877171958,0.927689654297416,-9.93927017918786,16.5255630857539,4.43075172843936
4,13,3593.57113271065,166.846075647864,1.87805997613658,304.32891509681,57.5061885000273,25.2248382246349,3.74773542236824,-7.53796833854152,11.2097972565429,4.71007357344517
4,14,3625.27716177684,145.446916878893,1.52152648618169,290.285842945753,50.244384507768,22.3901781809142,2.01115167622675,-6.86507484682537,10.2904678851156,4.88345769691105
4,15,3669.05374966803,133.604299422047,1.35076377730069,290.844187805488,44.8693941880578,20.6554515925919,0.243447034314991,-6.01523373945377,12.2417750838287,4.88416064565897
4,16,3630.50179224089,140.558170564891,1.48843801896767,400.849233337703,43.2232782821377,20.6525184324905,0.215228750922065,-6.85669517798852,12.4492709384787,4.74525829089705
4,17,3592.10441896378,163.481612509299,1.84929210424824,512.82525274021,42.641461673933,21.6350055319553,0.96639914130012,-8.0866037242432,12.9513758167731,4.67612840014686
4,18,3589.8010905048,129.763962504803,1.97869095520025,519.069411949777,41.2014378005573,19.0268807835462,2.66548552313516,-7.39417985017663,13.8804525046079,4.75714631143993
4,19,3573.63245790014,98.828103164461,1.85329394349933,424.70904026328,37.6584618674819,16.1567481332572,2.2438132346845,-6.63521940072347,11.1338443541554,4.8561700381968
4,20,3617.3311222283,86.57419860485,1.86371682915075,400.451897709982,33.2613620864466,13.8315934515898,2.26101306905011,-6.6408298923943,6.26341227265449,4.83094068395806
4,21,3688.98406054454,85.2543472817049,1.9980509905889,472.720919497103,31.7710165505072,13.5739867289025,3.41816362610528,-6.68339479337385,5.26820302668181,4.7110991636065
4,22,3629.66121047278,90.4887727773179,1.93258247833156,460.451861426248,34.5511337165442,15.2371618408424,5.50011726084648,-8.648163769377,6.3686504530259,4.61474112792794
4,23,3605.44523381953,96.7044393416658,1.97006219835052,358.454203158409,39.7220818447462,18.0704710366126,4.72585659487644,-14.1391504271354,8.11923452692753,4.58849773386171
