x,y,Al,Ca,Fe,K,Mg,Mn,P,Zn
2,4,992.803133440851,209.276869620377,145.10634740053,75.9562270464639,22.9212498701114,12.593951136788,3.43700408918982,3.05752602585463
2,5,1043.98255513411,236.237840973097,163.303524628475,81.6189232688788,28.9969892156195,17.4323779403505,3.86834288464575,3.57598690585337
2,6,1113.12446014198,230.797896782665,182.152116692915,84.5267761356575,36.1203622887607,19.2040375596387,4.55871702196682,4.43033920670234
2,7,1144.65146288559,223.356727330387,186.548019862653,86.6774977294655,41.1829663970553,15.1896731995807,5.32093311393491,5.32057481365061
2,8,1079.52412077518,417.003818909249,181.151677499989,90.133122709794,49.1945065300569,22.6511879951159,6.98901210690688,6.15209924367713
2,9,977.675020399175,588.033565926106,162.170166046856,94.5015089375506,54.6518415262043,26.8373330300485,8.79307439639607,6.42640212484251
2,10,1046.95597184274,554.028829872123,188.397324593891,92.524951978592,52.4330240072637,24.0543129214081,9.68804445683284,5.89794533653086
2,11,1152.25839335857,434.638474528072,260.059144350565,88.258177296992,45.2602468616345,20.8940188670069,10.1444901868755,4.99233783119636
2,12,1213.34654155519,354.624339398299,311.077248649309,83.6975304710578,39.0530054687294,17.6015070630505,10.4551238095094,4.58358705996253
2,13,1200.31998714704,343.679609429329,246.758895072688,84.5725183584766,37.706399753894,16.96226374471,9.25507525978667,5.08228757482446
2,14,1233.95502920415,305.399388160276,257.260023359846,86.0764492607369,37.6685420492424,12.6709418384523,8.14528480955834,5.6902751055872
2,15,1192.44284940606,324.463439635594,214.421558948233,90.756330468033,40.5612200082361,15.0822567156878,7.5573668689101,6.21321708279829
2,16,1143.95101852161,328.002901077008,172.515145911953,97.1174419060305,42.1923652983893,18.4783447184338,6.91058997933237,6.5751870918061
2,17,1131.39243168337,288.174232300356,164.303247749119,96.8987085676386,39.5698782891818,18.8271920933095,6.2786652602762,6.23687343112118
2,18,1110.72420824224,248.912497491312,160.553691447109,82.8277830432578,35.8413294798352,15.3093935452195,6.01430826172007,4.84911411018611
2,19,1065.03204691094,180.50254427892,156.209838759147,67.7736009955991,30.224864493918,9.7991373978229,5.32917190830748,3.75219085054679
2,20,1091.42897044612,189.593015752254,159.682352495666,69.1304634925483,27.138424972878,11.9012325582841,4.91856222042686,3.7631508331565
2,21,1158.67285709766,200.283193675486,176.250039208965,72.4018952102583,23.7921289522235,12.7171124228913,4.47763425991352,4.24840043609501
2,22,1196.40018132485,215.377366036554,189.751009854295,72.3920435514613,25.4216676612636,10.4660731511842,4.46497239527541,4.41888519383457
2,23,1001.99232025439,369.255399221516,168.293327866532,81.9916462570005,42.2726294096306,15.6397022997648,6.26270356294876,4.36513451145068
2,24,724.437992104944,658.492118104666,150.986896600783,93.5994230282036,70.642078671736,28.899704981397,9.11653645897693,4.44156230817211
2,25,820.544281441661,577.0891518176,149.393191364781,95.3587314576976,68.8212062004033,21.5857541543947,8.88007783860721,4.32064562327893
3,1,1054.75067256166,410.815522371761,181.840999216501,78.4462451721805,35.1894897372922,28.5731388269081,4.92512185361137,3.55991357663355
3,2,1073.82164288828,296.066092991168,174.523712700133,72.6753691442937,26.7147408261254,24.8313747606213,4.42212226109518,3.20010738380572
3,3,1064.28662439529,230.552610062954,172.612040879638,72.5895211952319,21.8297200169337,22.8888660979786,3.99366279408831,2.78119143203501
3,4,1074.55000374463,197.386505087049,186.771345190451,75.7004118946949,21.5745511924864,19.5223929712938,3.73539699536171,2.66133577990322
3,5,1098.19990410753,233.353232252482,188.871401580852,78.2451861709539,26.8673098697958,20.544661450135,3.99163291557465,3.20574887806172
3,6,1108.04746847121,312.488573793346,179.481106996788,75.165890484032,34.6942472754458,22.8312468484017,4.54050883044253,4.37985598489749
3,7,1102.02097996363,391.38728468085,169.717943446481,72.1349623385232,40.6892437218555,22.5543231292034,5.29756671756667,5.70049553980398
3,8,1111.30477973001,458.11269297837,186.544834490011,80.4685363497795,43.2222635521483,21.9900472850311,6.5964553665509,6.50720206748863
3,9,1101.75643047248,476.414673554178,193.480545968666,83.2691490515038,43.285434057591,21.3333591725765,7.85879474271211,6.72418666968099
