x,y,Al,Ca,Fe,K,P,pH
5,23,954.72020583679,209.171561307294,164.375898019336,21.3865474733359,1.70301539400932,4.35868973088806
5,24,964.927903680718,232.957328127219,169.680441760649,19.7773579407403,1.84336390654199,4.32109830989275
5,25,961.008427899864,244.987694947368,175.153342135426,18.2692200408489,2.10643725243972,4.31541875638248
6,1,923.389220255032,355.692301541316,276.675255116367,24.2125515273236,5.12106055169265,4.61193535185163
6,2,944.708563651107,362.367119539758,244.567912925074,25.7299057680575,4.7928847398671,4.5067761579211
6,3,971.31900298867,345.643996363618,208.883204025402,27.2354163194174,4.39739782546034,4.30971787595309
6,4,970.158674948533,311.658184043509,185.844808610193,28.0635597355387,3.99804758823483,4.17992395565894
6,5,945.395617552504,278.287545973817,171.119742103172,27.9514510315371,3.4879942139029,4.17491429611706
6,6,929.598524559893,216.626846602817,166.630954327858,26.5498594727313,2.92221083923784,4.28316696948904
6,7,953.362093840536,196.124213246979,166.651582329371,24.9396185135913,2.47267627284593,4.28956702101518
6,8,997.77564544147,225.379036837393,168.576000603073,23.7248452358231,2.32114312164272,4.18279667904672
6,9,1034.38230281105,259.474917570604,170.946224687907,22.920870083811,2.31582254799868,4.0538181854626
6,10,1002.59229126266,238.382532254346,169.102581918303,22.4221499966078,2.32229561955109,4.07093923910805
6,11,958.090772613951,223.550396252815,170.137957260234,22.5232209296274,2.46113832338531,4.22126437253811
6,12,911.29039188184,247.737378767529,177.154337205828,23.2646417131298,2.9082928083792,4.40896344580349
6,13,865.725307655464,282.9803200678,187.298910544786,24.0750171720143,3.1543730903699,4.55936445585365
6,14,929.148436274075,269.702292057103,197.259984545514,24.839447941665,2.97685658120364,4.49143242000976
6,15,1036.34898561572,257.10242504183,204.954265126829,25.6943684618674,2.70485037347518,4.27744573891973
6,16,1063.0282440961,239.854130442907,204.172446521044,26.6580768135468,2.42403379490451,4.06335098669641
6,17,1047.39489954375,220.102667570452,201.999450631063,27.3946541048023,2.29343845058925,3.94247956274529
6,18,1001.46401634221,208.038453610046,194.352173760927,27.2002950839483,2.21615500441487,4.00100263151977
6,19,953.77127731964,236.413614247889,183.75021922766,26.6750008130131,2.1527110128919,4.12162527524892
6,20,928.82996754511,274.467803938255,171.922498339365,26.0452395372776,2.23704692028007,4.2535397531321
6,21,937.104101278753,259.496639184585,167.26998997961,25.015378368381,2.23210780054729,4.31776130910199
6,22,951.390111757713,217.026643071817,168.320928442481,23.4830342053051,2.03366811639036,4.28390474418716
6,23,950.085928797184,190.768245757648,170.095175504504,21.3779475021443,1.84479012022996,4.2740863960137
6,24,928.526390868274,184.39339681263,172.832714870057,18.9888666412686,1.81580582354117,4.31425088292347
6,25,905.986267264854,183.175755439925,179.560018909657,16.8881547843353,1.92512322400436,4.37053583425582
7,1,967.726191855965,293.588558450006,352.779665531233,21.7414689097776,4.76914462599735,4.85332864591727
7,2,952.265193599904,305.306599338705,269.680151344129,23.1424854051531,4.33124966407559,4.73555956959462
7,3,966.771614821656,321.135592283469,210.954683387216,24.8488613885057,4.01005140460306,4.50131158571257
7,4,953.154758064877,306.54481750443,183.109735925485,26.3624810966325,3.6680775275962,4.33495083990455
7,5,951.334693183596,288.282739126256,167.859720551592,27.613794461447,3.28789673655665,4.28659804453432
7,6,934.470454570257,204.957708210743,165.495456542846,26.9262530252769,2.63981858329025,4.31919632309534
7,7,977.734907675362,147.832332145511,165.669164088494,25.9238796690208,2.07435496371574,4.30638061699612
7,8,1005.887364266,155.634559842894,162.52364060116,24.3514318477645,1.826497168728,4.2499652615796
7,9,1077.89677863198,189.319275618382,161.012320526503,23.2240165855264,1.77939228800455,4.14006993713242
7,10,1039.42174958407,182.120597373106,159.063995793087,22.3721030506623,1.70861104746043,4.12001452144541
7,11,979.9036813032,159.351406808921,157.937682484037,22.0747564935789,1.71221419841181,4.26102135930844
7,12,882.951179000304,184.424977926549,168.293257746489,22.4218266019564,1.97807123647418,4.52143311187325
7,13,742.002997543488,189.266597310612,181.548974424173,22.6046580354187,2.06705004477916,4.72530215132727
7,14,921.619582239946,187.43647537314,204.103267926288,23.5933280389765,2.12942835715898,4.55526058718313
7,15,1134.47213634797,204.892648390816,227.093818348015,24.8050989270998,2.2887561393712,4.29423513301086
7,16,1132.90809148392,218.735173644993,219.160317135938,26.146708698281,2.16863601986082,4.07754614717798
7,17,1095.92693806474,231.966474036865,210.247839678547,27.147569588646,2.02345759907474,3.9584857131011
7,18,1057.19567009733,233.462945843062,203.643087146346,26.8872324180491,1.88287966759718,4.05722586952531
7,19,1034.53683281611,263.521507400049,193.903856227316,26.5234768730328,1.78614603535508,4.1421241219608
7,20,979.372939891077,298.604849973572,176.646759894115,26.4392977468789,2.07761656129245,4.18473544494576
7,21,963.543342878097,265.668558601318,167.456143301121,25.6800306356564,2.22112048395971,4.17087149414057
7,22,969.861695165666,198.750853971279,171.222021344775,23.9785807449425,2.09337942489952,4.13686297666743
7,23,965.833683765883,163.504033383302,178.13769729685,21.5345943026564,1.94365896970774,4.18898410364717
7,24,897.842682232142,151.638253945566,180.765015458915,18.3524127455159,1.897346442483,4.37296613909551
7,25,827.592115690521,126.685127192313,189.426639269768,15.4573117314609,1.90961032513923,4.5310065910323
8,1,898.24618057772,164.197140404529,259.732262771946,19.1425012140332,3.22216881739001,4.7355271728877
8,2,894.45175690667,182.940447620604,225.667425189252,20.1313312500687,3.01768408584589,4.77820163281714
8,3,889.886214861866,209.583884418138,192.070922830581,21.3835344164429,2.89306303433374,4.67899479026004
8,4,887.063138577277,221.066959462416,179.803742337183,22.9737463956116,2.79923402536772,4.46086560925126
8,5,871.096605646292,196.843090773933,173.275324191882,24.4001550279114,2.61494398934796,4.35217554168432
8,6,791.62516059966,131.664332901228,158.52673466592,24.6925533469061,2.10708345151936,4.45119296080557
8,7,745.516438185083,79.9558736268378,146.908110939571,24.1057343867894,1.5616003789487,4.55759312549207
8,8,857.457104067001,73.4636131435383,150.52035938795,22.9036615972782,1.24696641500515,4.46429315113539
8,9,999.884588491718,97.3475672300658,151.583084266047,21.9534598666559,1.14024395994297,4.27055271472309
8,10,1028.49306891709,133.534165310716,152.318942878487,21.515282535758,1.18333382016752,4.19654250547948
8,11,991.53530885288,136.712235610531,152.996736755256,21.3037264863537,1.17158073148117,4.29205880817862
8,12,904.897550378505,120.421583142761,161.833586009088,21.2170890137819,1.146722840728,4.45359917359453
8,13,850.123920359031,101.607657037773,175.736542886743,21.1910028373138,1.04857651529397,4.50318648861302
8,14,1003.06818644751,99.4409031341361,201.22315074694,21.9855589338164,1.11074657632713,4.36142198174983
8,15,1177.066227885,121.5897399976,223.653061801167,23.2281010330869,1.38446005850207,4.19449371427442
8,16,1170.38503855007,163.379291462674,217.438606442883,24.4522723755312,1.61364804300933,4.13510618424707
8,17,1107.35000753452,197.316687069267,206.784101235278,25.3179464230783,1.67331361103555,4.16802174498423
8,18,1075.58170092386,211.458313324749,210.197191181723,25.4208049997289,1.54463984546827,4.24735184360345
8,19,1061.53614130697,216.093468292411,207.3902354079,25.1389768948901,1.41655452876214,4.29091006609526
8,20,1026.63427817325,209.046691299086,181.241191164273,24.9978753976048,1.48254260195625,4.22669674856056
8,21,987.292528352186,167.259883564306,169.161534122712,24.7829467862249,1.72514899263591,4.0985424461545
8,22,980.35454190819,137.799439041383,171.687269496806,23.6446744453913,1.94055546111327,4.07258447595283
8,23,956.500653037323,132.512506621482,178.543338752571,21.5234669086832,2.02261269725271,4.20906635552375
8,24,854.603137460249,140.849037447506,190.818045203134,18.552814300731,2.06809896059118,4.50196047959366
8,25,765.301257673178,133.140379866899,210.119140322935,15.6695096691606,2.12502342270648,4.74450610235935
9,1,818.516843679927,72.0946863151077,190.294229054032,16.9424847146269,1.85493619424986,4.50520894730091
9,2,834.393374960615,89.8226819827642,184.745128167995,17.617178141548,1.77997024607913,4.6425692486144
9,3,816.45197750619,105.218201392621,170.154057796288,18.3345683249753,1.76670289072022,4.65482304113306
9,4,820.46279231282,115.442428398995,177.677590586037,19.7492967479006,1.93905817078128,4.41608164544853
9,5,805.0607723585,105.502922199447,183.69431629315,21.139100372141,2.02776826786189,4.28951040559521
9,6,635.133371514386,75.1562815698357,156.2527676765,21.7707894388037,1.68340953410366,4.53619380321932
9,7,444.687233166992,39.3480486286512,133.714426612325,21.5021351990035,1.23254096123852,4.86396540074217
9,8,662.829619878499,41.8998173568528,155.527338503838,20.5190873502946,1.14330144277814,4.75701468973536
9,9,950.923788006811,63.4297642087451,157.72427427952,20.1083980999785,1.0534223691396,4.41565673752502
9,10,996.571103448062,108.819808539173,156.523901702991,20.1034204044632,1.20987481020481,4.3375493070472
9,11,1010.27228176738,123.684436036579,152.260334880535,20.0617176801418,1.10873688395405,4.36000375096043
9,12,959.616519853597,81.4010801433346,160.345980325544,19.6754675611358,0.917702391867213,4.34933394043493
9,13,947.58058946015,52.7567970441748,168.343679687665,19.3345853211161,0.599761026274896,4.20935867557174
9,14,1098.3503068197,46.7831963001641,196.199828694896,19.8882722645086,0.543762689673354,4.06079997623761
9,15,1272.91866895003,57.5386005499982,223.254549834881,20.9586719675674,0.678130525777053,3.96815804186864
9,16,1211.23125252335,107.246088266969,209.783371314191,22.0156854026195,1.05242351874139,4.07742934167604
9,17,1122.17059068039,145.412227839604,194.413199866915,22.9498668022391,1.31825646441794,4.24169678220259
9,18,1079.35135228559,156.152799322829,211.126552781341,23.0793435159016,1.29033720961723,4.33153658765906
9,19,1077.76324995903,150.911110419168,226.712122977637,22.855958442075,1.17122129845233,4.3513708488864
