,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
36,8.211100190395781e-07,1.2151212568191734e-06,1.1989969991417456e-06,1.3107394599178217e-06,1.5576320486309793e-06,1.732888204165282e-06,1.9967980002969423e-06,2.269862777183899e-06,2.395736035192984e-06,2.56676378698795e-06,2.7252004571231637e-06,2.8614092306168514e-06,3.096825092345261e-06,3.2145429255643133e-06,3.2647255665409276e-06,3.2240521780451436e-06,3.0851874060207057e-06,3.1329888988364413e-06,3.4783307072571985e-06,3.966547396060407e-06,4.2449842794934495e-06,4.116728721756546e-06,3.8132590749140053e-06,3.3199876304332415e-06,2.060575090497606e-06
37,7.827676286085042e-07,1.236954944133239e-06,1.2714911014500443e-06,1.240220327242523e-06,1.4334382035450889e-06,1.7610197435094186e-06,2.0861930172442564e-06,2.3052917155636965e-06,2.4157926467998338e-06,2.5180168708408944e-06,2.6699408260639282e-06,2.8914129972607265e-06,3.141254018468062e-06,3.228010052585675e-06,3.223190547662693e-06,3.1948070666772286e-06,2.9936488968081265e-06,2.9124081344376983e-06,3.1341420342159345e-06,3.5246094763540366e-06,3.815629769573076e-06,3.658809342086855e-06,3.3435394507602557e-06,2.8779289974565047e-06,1.7286218432145183e-06
38,8.048286311095874e-07,1.3668776824597463e-06,1.4741891466092848e-06,1.3027451521367845e-06,1.324867581290404e-06,1.7325258280107713e-06,2.1520344838793758e-06,2.3312292097820755e-06,2.391877989140048e-06,2.370711196766276e-06,2.432838679409732e-06,2.6351911937171586e-06,2.9299106089322013e-06,3.0587171463828684e-06,2.9615027933479965e-06,2.8075571189710133e-06,2.617191669410069e-06,2.685420285732123e-06,3.0041560661751453e-06,3.2653369042302053e-06,3.32709464603591e-06,3.1129659299266016e-06,2.9877727532168516e-06,2.6442760079857127e-06,1.5319628215784748e-06
39,8.306559749971589e-07,1.4579542782423181e-06,1.6310258144959234e-06,1.4186810573117037e-06,1.287019934909789e-06,1.5591718265437269e-06,1.9063049592195958e-06,2.156802823029249e-06,2.380678596777982e-06,2.3256960671780457e-06,2.1225286545553576e-06,2.0750690881388803e-06,2.3828875946282915e-06,2.599485706802263e-06,2.518757143917467e-06,2.3670622940178753e-06,2.2662560885993797e-06,2.4654648049971036e-06,2.817921233599555e-06,3.047867836777399e-06,2.9457331923597876e-06,2.555613935553943e-06,2.442067782322943e-06,2.190661326909979e-06,1.2666609565375749e-06
40,7.32229282436737e-07,1.3524990516971319e-06,1.6113761620683124e-06,1.447803865125726e-06,1.2087677778653478e-06,1.2246422668970844e-06,1.4225432180670765e-06,1.77876054477455e-06,2.2320370149950043e-06,2.265396454156901e-06,1.9217655397834203e-06,1.6911350477003562e-06,1.9014608286839606e-06,2.087271077410767e-06,2.079953297411724e-06,2.0361078667269315e-06,2.0308981768817944e-06,2.212454062272386e-06,2.462103740133206e-06,2.7452583207265677e-06,2.672510999215625e-06,2.1073934813074546e-06,1.810764441750791e-06,1.5761068955809756e-06,9.139657609432292e-07
41,6.48622031468604e-07,1.2017758538676945e-06,1.5011623320910243e-06,1.4025387655520512e-06,1.1307779216775038e-06,1.0243675804474907e-06,1.1497364431268499e-06,1.5221482837810598e-06,1.968755767332263e-06,2.0260431589084854e-06,1.7818268303527157e-06,1.5280941797845011e-06,1.5443387970430483e-06,1.6994185233310028e-06,1.8776067328555902e-06,1.9104184488386185e-06,1.7942160117951478e-06,1.8280356890266425e-06,1.9927037705418155e-06,2.2371364749581676e-06,2.1616663109908824e-06,1.6394452458139606e-06,1.337127963396981e-06,1.1536867620983061e-06,6.450444709371692e-07
42,6.603738628129405e-07,1.1357691782711967e-06,1.4153070688849079e-06,1.430969093119064e-06,1.2510128073295792e-06,1.1423608758558543e-06,1.2571942112668064e-06,1.5903827216219722e-06,1.8409432731005718e-06,1.7725384775176749e-06,1.6470767808913327e-06,1.4003617053604168e-06,1.2083130791550895e-06,1.4067138216762004e-06,1.803638424579877e-06,1.854845640852992e-06,1.6021806282662577e-06,1.5438144529523624e-06,1.706320197192348e-06,1.8806758361048704e-06,1.7611255647007694e-06,1.329778739453106e-06,1.0725193785762345e-06,9.796987495756355e-07,5.748687304094632e-07
43,7.316395534801489e-07,1.2466599866835657e-06,1.4890946273592162e-06,1.5412653982496933e-06,1.4613229045160738e-06,1.3889337766445091e-06,1.4466001602741162e-06,1.5968802143779274e-06,1.6868256205980953e-06,1.637380385483413e-06,1.558864583700425e-06,1.3027820290847695e-06,1.014098020416599e-06,1.1682571217872666e-06,1.573053382072296e-06,1.5696435165035199e-06,1.3072488177323353e-06,1.3123627591703858e-06,1.5603088169836277e-06,1.6948466837892832e-06,1.5322630224316616e-06,1.170877099291042e-06,9.474721586571598e-07,9.278646373687866e-07,6.252967475992897e-07
44,8.119036313598331e-07,1.4361530617894538e-06,1.6655474950678528e-06,1.618921049581298e-06,1.5651035338714079e-06,1.6250211896287242e-06,1.6898943972058498e-06,1.6561972882626927e-06,1.6242847107780252e-06,1.5628093677932602e-06,1.45552340726637e-06,1.2246758553445077e-06,9.568861435844984e-07,9.478045239867061e-07,1.169743667535483e-06,1.2048299002303304e-06,1.0881577975444746e-06,1.1626514644379019e-06,1.387524003240335e-06,1.505003925683276e-06,1.3647714503218698e-06,1.1067310022159298e-06,1.0048607012263977e-06,1.029642366764353e-06,7.315314030421136e-07
45,9.141615533606136e-07,1.6107629808709325e-06,1.8339903404251638e-06,1.6630262580245089e-06,1.5925498260289509e-06,1.7760202679973393e-06,1.909671428003715e-06,1.8365133575622763e-06,1.707586490548181e-06,1.5221332662190526e-06,1.3787147106744216e-06,1.2123620523958122e-06,9.954294311721914e-07,9.022475266105097e-07,9.743322967313977e-07,1.0761017885156958e-06,1.0895600498959761e-06,1.112585997759506e-06,1.1644203709807598e-06,1.2575152937740633e-06,1.2599612942568466e-06,1.173345616032805e-06,1.209478081224123e-06,1.2529743977054659e-06,8.557646339909037e-07
