"x"	"y"	"swp"
702.5	2.5	-0.149464805555556
707.5	2.5	-0.141763496031746
712.5	2.5	-0.239770392857143
717.5	2.5	-0.245608087301588
722.5	2.5	-0.244367
727.5	2.5	-0.26556203968254
732.5	2.5	-0.221715198412699
737.5	2.5	-0.16575655952381
742.5	2.5	-0.169320170634921
747.5	2.5	-0.174445686507937
752.5	2.5	-0.174445686507937
757.5	2.5	-0.162505666666667
762.5	2.5	-0.172841666666667
767.5	2.5	-0.177097472222222
772.5	2.5	-0.208433400793651
777.5	2.5	-0.213797626984127
782.5	2.5	-0.212014456349206
787.5	2.5	-0.209365626984127
792.5	2.5	-0.207705626984127
797.5	2.5	-0.211197150793651
802.5	2.5	-0.211197150793651
807.5	2.5	-0.239730461399711
812.5	2.5	-0.255768488095238
817.5	2.5	-0.262752607142857
822.5	2.5	-0.238517003968254
827.5	2.5	-0.19716023015873
832.5	2.5	-0.197268170634921
837.5	2.5	-0.296803523809524
842.5	2.5	-0.329774027777778
847.5	2.5	-0.365081376984127
852.5	2.5	-0.370789015873016
857.5	2.5	-0.305586099206349
862.5	2.5	-0.306557277777777
867.5	2.5	-0.210935011904762
872.5	2.5	-0.247256325396825
877.5	2.5	-0.279766682539683
882.5	2.5	-0.321874535714285
887.5	2.5	-0.37088926984127
892.5	2.5	-0.37088926984127
897.5	2.5	-0.375050103174604
902.5	2.5	-0.325696257936508
907.5	2.5	-0.324611468253968
912.5	2.5	-0.269361222222222
917.5	2.5	-0.290186
922.5	2.5	-0.589822087301587
927.5	2.5	-0.599643551587301
932.5	2.5	-0.599643551587301
937.5	2.5	-0.598388992063492
942.5	2.5	-0.597656857142857
947.5	2.5	-0.598719749639249
952.5	2.5	-0.594600475829726
957.5	2.5	-0.594600475829726
962.5	2.5	-0.593201166305917
967.5	2.5	-0.611710313131313
972.5	2.5	-0.592762158369409
977.5	2.5	-0.58770669011544
982.5	2.5	-0.589725007575758
987.5	2.5	-0.592826467893218
992.5	2.5	-0.633903909090909
997.5	2.5	-0.608460948051948
2.5	7.5	-0.13975948015873
7.5	7.5	-0.146451492063492
12.5	7.5	-0.193986876984127
17.5	7.5	-0.213481226190476
22.5	7.5	-0.209349194444444
27.5	7.5	-0.209213182539682
32.5	7.5	-0.214716849206349
37.5	7.5	-0.233073412698413
42.5	7.5	-0.157372722222222
47.5	7.5	-0.15903876984127
52.5	7.5	-0.33439659920635
57.5	7.5	-0.325314507936508
62.5	7.5	-0.31197728968254
67.5	7.5	-0.326754996031746
72.5	7.5	-0.336078003968254
77.5	7.5	-0.303554325396825
82.5	7.5	-0.302725226190476
87.5	7.5	-0.285924785714286
92.5	7.5	-0.285761452380952
97.5	7.5	-0.321993357142857
102.5	7.5	-0.356809357142858
107.5	7.5	-0.425304146825397
112.5	7.5	-0.425304146825397
117.5	7.5	-0.340710103174604
122.5	7.5	-0.343289722222223
127.5	7.5	-0.28695321031746
132.5	7.5	-0.277494511904762
137.5	7.5	-0.272239396825397
142.5	7.5	-0.326487182539683
147.5	7.5	-0.336581305555556
152.5	7.5	-0.33942775
